CustomerKey;Name;Marital Status;Gender;Education;Occupation;Continent;City;State;CountryRegion;Birth Date
777;Mitchell, Seth;M;M;Graduate Degree;Skilled Manual;North America;Santa Cruz;California;United States;3/7/1973 0:00
782;Gray, Carlos;M;M;Graduate Degree;Skilled Manual;North America;Daly City;California;United States;10/3/1971 0:00
788;Nath, Jerry;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;5/9/1972 0:00
1451;Cook, Cody;M;M;Graduate Degree;Skilled Manual;North America;Imperial Beach;California;United States;23/9/1958 0:00
1456;Lewis, Benjamin;M;M;Graduate Degree;Skilled Manual;North America;Mill Valley;California;United States;10/4/1959 0:00
1528;Rodriguez, José;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;24/11/1959 0:00
1530;Allen, Isaiah;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;11/10/1959 0:00
1794;Guo, Jessie;M;M;Graduate Degree;Skilled Manual;North America;Chula Vista;California;United States;17/4/1958 0:00
1877;Robinson, Blake;M;M;Graduate Degree;Skilled Manual;North America;Oakland;California;United States;22/7/1959 0:00
1880;Nelson, Elijah;M;M;Graduate Degree;Skilled Manual;North America;Los Angeles;California;United States;16/7/1972 0:00
1883;Allen, Eduardo;M;M;Graduate Degree;Skilled Manual;North America;San Carlos;California;United States;27/3/1973 0:00
1886;Anderson, Jonathan;M;M;Graduate Degree;Skilled Manual;North America;San Francisco;California;United States;15/8/1971 0:00
1888;Pal, Brendan;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;13/2/1971 0:00
1891;Thorpe, Steven;M;M;Graduate Degree;Skilled Manual;North America;Novato;California;United States;19/7/1971 0:00
2750;Alonso, Julio;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;22/9/1958 0:00
2760;Scott, Jackson;M;M;Graduate Degree;Skilled Manual;North America;El Cajon;California;United States;17/7/1959 0:00
2855;Parker, Kyle;M;M;Graduate Degree;Skilled Manual;North America;Chula Vista;California;United States;9/11/1973 0:00
2863;Walker, Andrew;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;4/12/1972 0:00
2864;Long, Kevin;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;19/1/1972 0:00
3365;Rai, Mario;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;9/3/1973 0:00
3366;Ward, Evan;M;M;Graduate Degree;Skilled Manual;North America;Long Beach;California;United States;19/5/1973 0:00
3369;Thompson, Richard;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;15/3/1971 0:00
3374;Jai, Ricardo;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;14/6/1972 0:00
3874;Long, Fernando;M;M;Graduate Degree;Skilled Manual;North America;Lincoln Acres;California;United States;10/2/1974 0:00
3877;Anderson, Nathan;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;9/3/1931 0:00
3920;Torres, Erik;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;26/10/1958 0:00
3921;Hill, Jason;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;24/5/1959 0:00
4289;Perry, Logan;M;M;Graduate Degree;Skilled Manual;North America;Chula Vista;California;United States;28/3/1973 0:00
4296;Shan, Louis;M;M;Graduate Degree;Skilled Manual;North America;Beverly Hills;California;United States;24/3/1971 0:00
4859;Parker, Jonathan;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;15/6/1959 0:00
5245;Kumar, Gregory;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;19/12/1958 0:00
5250;Rivera, Jesse;M;M;Graduate Degree;Skilled Manual;North America;El Cajon;California;United States;5/12/1959 0:00
5380;Jimenez, Marc;M;M;Graduate Degree;Skilled Manual;North America;Colma;California;United States;25/9/1958 0:00
5386;Perez, James;M;M;Graduate Degree;Skilled Manual;North America;Santa Cruz;California;United States;17/12/1959 0:00
5768;Liu, Rafael;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;5/4/1973 0:00
5769;Barnes, Eduardo;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;10/7/1973 0:00
5770;Walker, Tyler;M;M;Graduate Degree;Skilled Manual;North America;Downey;California;United States;24/10/1971 0:00
5771;Rogers, Charles;M;M;Graduate Degree;Skilled Manual;North America;Lakewood;California;United States;22/9/1971 0:00
6383;Allen, Blake;M;M;Graduate Degree;Skilled Manual;North America;Oakland;California;United States;23/3/1971 0:00
6385;Prasad, Raymond;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;22/9/1971 0:00
6661;Young, Seth;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;4/8/1966 0:00
6699;Butler, Xavier;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;20/11/1971 0:00
7371;Flores, Tristan;M;M;Graduate Degree;Skilled Manual;North America;Santa Cruz;California;United States;12/2/1971 0:00
7647;Adams, Blake;M;M;Graduate Degree;Skilled Manual;North America;Beverly Hills;California;United States;12/3/1966 0:00
7673;Lewis, Anthony;M;M;Graduate Degree;Skilled Manual;North America;Torrance;California;United States;7/10/1958 0:00
7674;Green, James;M;M;Graduate Degree;Skilled Manual;North America;Beverly Hills;California;United States;25/8/1958 0:00
7681;Shan, David;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;3/11/1973 0:00
7684;Walker, Robert;M;M;Graduate Degree;Skilled Manual;North America;Santa Cruz;California;United States;23/8/1973 0:00
7800;Lewis, Jacob;M;M;Graduate Degree;Skilled Manual;North America;La Jolla;California;United States;24/10/1971 0:00
7805;Gonzales, Aaron;M;M;Graduate Degree;Skilled Manual;North America;Novato;California;United States;26/5/1971 0:00
8234;Andersen, Omar;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;6/5/1959 0:00
8243;Baker, Devin;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;4/11/1973 0:00
8244;Thomas, James;M;M;Graduate Degree;Skilled Manual;North America;San Carlos;California;United States;28/4/1973 0:00
8245;Ward, Sebastian;M;M;Graduate Degree;Skilled Manual;North America;San Francisco;California;United States;8/6/1973 0:00
8246;King, Isaiah;M;M;Graduate Degree;Skilled Manual;North America;Newport Beach;California;United States;27/2/1971 0:00
8680;Rana, Erick;M;M;Graduate Degree;Skilled Manual;North America;Coronado;California;United States;11/3/1971 0:00
9123;Bailey, Jeremy;M;M;Graduate Degree;Skilled Manual;North America;Downey;California;United States;6/11/1973 0:00
9124;Gonzalez, Aaron;M;M;Graduate Degree;Skilled Manual;North America;Grossmont;California;United States;5/4/1973 0:00
9127;Carter, Seth;M;M;Graduate Degree;Skilled Manual;North America;Santa Cruz;California;United States;17/10/1971 0:00
9785;Walker, Eduardo;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;21/2/1959 0:00
9787;Perez, Marcus;M;M;Graduate Degree;Skilled Manual;North America;Glendale;California;United States;20/11/1972 0:00
9790;Williams, Miguel;M;M;Graduate Degree;Skilled Manual;North America;Glendale;California;United States;15/7/1973 0:00
9792;Patterson, Ryan;M;M;Graduate Degree;Skilled Manual;North America;San Francisco;California;United States;5/2/1973 0:00
10589;Martin, Theodore;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;3/2/1972 0:00
10696;Rodriguez, Ethan;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;6/10/1966 0:00
10723;Wood, Spencer;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;5/5/1959 0:00
10731;Campbell, Noah;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;20/4/1973 0:00
10737;Thompson, Thomas;M;M;Graduate Degree;Skilled Manual;North America;Burbank;California;United States;24/4/1971 0:00
11331;Walker, Jose;M;M;Graduate Degree;Skilled Manual;North America;Concord;California;United States;3/4/1974 0:00
11337;Moreno, Frank;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;4/11/1966 0:00
11363;Russell, Austin;M;M;Graduate Degree;Skilled Manual;North America;Coronado;California;United States;13/11/1958 0:00
11366;Richardson, Sebastian;M;M;Graduate Degree;Skilled Manual;North America;San Gabriel;California;United States;2/3/1958 0:00
11370;Deng, Louis;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;5/5/1959 0:00
12016;Rivera, Juan;M;M;Graduate Degree;Skilled Manual;North America;Colma;California;United States;8/2/1971 0:00
12824;Davis, Samuel;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;18/5/1973 0:00
12825;Carter, Edward;M;M;Graduate Degree;Skilled Manual;North America;Downey;California;United States;13/10/1973 0:00
13769;Ross, Jordan;M;M;Graduate Degree;Skilled Manual;North America;Colma;California;United States;14/10/1973 0:00
13771;Wright, Isaac;M;M;Graduate Degree;Skilled Manual;North America;Torrance;California;United States;13/11/1973 0:00
13773;Russell, Greg;M;M;Graduate Degree;Skilled Manual;North America;Novato;California;United States;22/5/1972 0:00
13778;Adams, Eric;M;M;Graduate Degree;Skilled Manual;North America;Redwood City;California;United States;3/2/1971 0:00
13784;Raman, Barry;M;M;Graduate Degree;Skilled Manual;North America;Chula Vista;California;United States;4/8/1972 0:00
14376;Flores, Carson;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;21/3/1972 0:00
15242;Lal, James;M;M;Graduate Degree;Skilled Manual;North America;Palo Alto;California;United States;19/3/1974 0:00
15246;Murphy, Devin;M;M;Graduate Degree;Skilled Manual;North America;Beverly Hills;California;United States;4/9/1966 0:00
15290;Simmons, Samuel;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;16/2/1973 0:00
16060;Perry, Hunter;M;M;Graduate Degree;Skilled Manual;North America;Berkeley;California;United States;4/10/1972 0:00
16066;Wright, Jordan;M;M;Graduate Degree;Skilled Manual;North America;Fremont;California;United States;10/2/1973 0:00
16077;Russell, Dakota;M;M;Graduate Degree;Skilled Manual;North America;Grossmont;California;United States;22/9/1971 0:00
16196;Perez, Robert;M;M;Graduate Degree;Skilled Manual;North America;San Francisco;California;United States;10/12/1931 0:00
16242;Butler, Oscar;M;M;Graduate Degree;Skilled Manual;North America;West Covina;California;United States;17/12/1972 0:00
16247;Hall, Aaron;M;M;Graduate Degree;Skilled Manual;North America;Lemon Grove;California;United States;12/7/1973 0:00
16248;Hughes, Blake;M;M;Graduate Degree;Skilled Manual;North America;Lemon Grove;California;United States;25/7/1973 0:00
17636;Gonzalez, Levi;M;M;Graduate Degree;Skilled Manual;North America;Bellflower;California;United States;7/2/1973 0:00
17638;Lee, Brandon;M;M;Graduate Degree;Skilled Manual;North America;Imperial Beach;California;United States;7/4/1973 0:00
17644;Gray, Xavier;M;M;Graduate Degree;Skilled Manual;North America;Spring Valley;California;United States;13/5/1971 0:00
17646;Fernandez, Martin;M;M;Graduate Degree;Skilled Manual;North America;Burlingame;California;United States;14/4/1971 0:00
17812;Phillips, Caleb;M;M;Graduate Degree;Skilled Manual;North America;Imperial Beach;California;United States;12/2/1973 0:00
673;Jai, Chad;M;M;Bachelors;Skilled Manual;North America;Beverly Hills;California;United States;21/9/1966 0:00
695;Ortega, Jonathon;M;M;Bachelors;Skilled Manual;North America;Colma;California;United States;24/3/1964 0:00
696;Campbell, Logan;M;M;Bachelors;Skilled Manual;North America;Beverly Hills;California;United States;11/1/1964 0:00
698;Lee, Eduardo;M;M;Bachelors;Skilled Manual;North America;Oakland;California;United States;24/6/1964 0:00
791;Gonzalez, Timothy;M;M;Bachelors;Skilled Manual;North America;Chula Vista;California;United States;21/5/1970 0:00
794;Rogers, Xavier;M;M;Bachelors;Skilled Manual;North America;Burbank;California;United States;20/3/1969 0:00
810;Gray, Juan;M;M;Bachelors;Skilled Manual;North America;Beverly Hills;California;United States;2/1/1968 0:00
1422;Hughes, Cameron;M;M;Bachelors;Skilled Manual;North America;Newport Beach;California;United States;12/3/1953 0:00
1763;Smith, Jonathan;M;M;Bachelors;Skilled Manual;North America;Spring Valley;California;United States;20/12/1953 0:00
1905;Jai, Thomas;M;M;Bachelors;Skilled Manual;North America;Chula Vista;California;United States;19/2/1969 0:00
1925;Chande, Devon;M;M;Bachelors;Skilled Manual;North America;Beverly Hills;California;United States;9/10/1966 0:00
